time,distance
6831,26
6857,26
6882,26
6907,26
6932,26
6957,26
6982,26
7007,24
7032,27
7057,27
7081,27
7106,28
7130,27
7154,27
7178,27
7203,27
7227,30
7267,301
7292,27
7317,26
7341,29
7365,25
7389,27
7414,26
7438,23
7462,22
7486,22
7511,21
7535,21
7559,20
7583,19
7607,20
7630,18
7655,18
7679,18
7702,16
7726,17
7750,16
7774,16
7798,15
7822,15
7846,12
7870,13
7894,12
7917,12
7940,12
7963,12
7987,9
8010,9
8033,9
8056,9
8080,8
8103,10
8126,9
8149,9
8173,8
8199,6
8222,7
8245,7
8268,8
8291,6
8314,5
8337,5
8360,5
8383,6
8406,6
8429,8
8452,7
8475,9
8498,9
8522,10
8545,11
8568,12
8591,12
8615,14
8638,14
8661,14
8684,15
8708,15
8732,16
8756,17
8781,18
8805,19
8829,20
8853,21
8878,21
8909,25
8933,26
8957,25
8981,29
9006,30
9041,212
9065,31
9089,32
9114,31
9138,32
9163,33
9189,35
9214,36
9239,36
9279,302
9320,302
9361,301
9387,38
9412,38
9437,41
9463,41
9488,41
9528,302
9569,302
9595,46
9620,45
9645,46
9670,46
9699,45
9724,46
9749,46
9774,46
9800,47
9825,48
9850,47
9875,49
9916,301
9957,301
9998,301
10039,301
10080,302
10106,43
10131,42
10156,41
10182,38
10207,38
10232,37
10257,36
10282,35
10307,36
10331,33
10356,33
10381,31
10405,29
10429,29
10453,28
10478,28
10502,25
10526,21
10550,21
10574,20
10598,18
10622,18
10645,17
10669,17
10693,15
10716,16
10740,16
10765,18
10788,16
10812,11
10835,10
10859,9
10882,8
10905,9
10928,8
10951,8
10974,10
10997,8
11020,10
11044,6
11067,5
11090,5
11113,5
11136,4
11159,4
11182,4
11205,4
11228,4
11251,5
11274,4
11297,7
11320,6
11343,9
11366,15
11390,16
11414,10
11437,10
11460,11
11484,21
11524,303
11548,16
11572,17
11596,16
11620,16
11644,16
11669,18
11693,21
11717,21
11741,22
11765,23
11789,24
11814,29
11838,29
11862,29
11886,29
11911,30
11951,301
11976,35
12001,35
12026,37
12053,71
12078,39
12103,38
12128,39
12153,38
12179,37
12205,38
12237,39
12262,40
12287,42
12312,42
12338,43
12367,44
12392,45
12418,45
12443,45
12468,45
12493,48
12519,48
12544,49
12570,49
12595,49
12621,49
12647,50
12673,51
12700,52
12726,56
12766,301
12807,301
12847,301
12882,199
12908,57
12942,199
12968,56
12994,56
13020,56
13058,268
13084,52
13110,50
13136,49
13162,49
13188,47
13214,45
13239,46
13264,44
13304,301
13345,301
13386,301
13412,36
13437,36
13462,36
13486,34
13511,31
13535,31
13560,29
13585,27
13610,28
13635,27
13660,25
13684,25
13708,21
13732,19
13760,18
13783,18
13807,16
13831,15
13856,18
13879,15
13903,14
13927,14
13951,13
13974,13
13997,11
14020,11
14044,10
14067,10
14090,10
14113,8
14136,9
14159,8
14182,7
14205,7
14228,7
14251,7
14274,7
14297,6
14321,7
14344,6
14367,6
14390,6
14413,5
14436,5
14459,5
14482,6
14505,6
14528,6
14551,6
14574,7
14597,6
14620,6
14643,7
14666,9
14690,9
14713,8
14736,9
14759,9
14783,11
14806,12
14829,13
14852,16
14876,16
14900,17
14925,18
14949,19
14973,20
14997,21
15024,23
15049,25
15087,268
15128,302
15153,29
15178,30
15202,31
15226,31
15250,33
15275,33
15300,34
15325,34
15351,35
15376,36
15401,36
15426,36
15452,37
15484,37
15509,38
15534,38
15559,38
15585,38
15610,38
15635,38
15660,41
15686,39
15711,40
15736,40
15761,39
15787,38
15812,39
15837,37
15862,37
15887,36
15912,36
15937,37
15962,35
15986,33
16011,31
16035,30
16059,29
16084,29
16108,29
16132,26
16156,26
16181,23
16205,22
16229,21
16253,21
16276,18
16300,17
16327,15
16351,16
16375,15
16399,14
16422,12
16445,12
16469,10
16492,9
16515,10
16538,9
16562,8
16585,9
16608,7
16631,7
16654,6
16677,9
16700,5
16723,6
16746,7
16769,5
16792,8
16815,5
16838,5
16861,4
16884,5
16907,5
16930,4
16953,5
16976,4
16999,5
17022,6
17045,5
17068,5
17091,5
17114,6
17137,8
17160,9
17183,9
17207,10
17230,10
17253,12
17277,12
17301,14
17324,15
17348,16
17372,18
17397,19
17421,20
17445,24
17469,23
17494,25
17518,29
17542,29
17566,30
17591,31
17615,32
17640,33
17665,34
17691,36
17731,302
17757,37
17782,39
17807,40
17832,41
17872,302
17898,47
17924,45
17949,46
17974,46
17999,46
18025,48
18051,47
18076,48
18101,46
18127,48
18152,49
18178,49
18204,47
18230,49
18255,49
18280,47
18305,46
18331,45
18356,45
18381,47
18406,44
18432,45
18457,43
18482,44
18507,45
18548,301
18589,301
18630,301
18656,36
18687,34
18712,31
18737,30
18762,30
18803,301
18828,26
18852,23
18876,22
18900,20
18924,20
18948,18
18976,21
19000,18
19023,16
19047,16
19071,14
19094,14
19117,14
19140,16
19165,23
19188,10
19212,10
19235,9
19259,9
19282,9
19305,8
19328,8
19351,9
19374,6
19397,8
19420,7
19443,10
19466,7
19489,7
19512,6
19535,5
19558,8
19581,8
19604,5
19627,5
19650,6
19673,7
19696,8
19719,9
19742,8
19765,9
19788,11
19812,12
19836,14
19860,15
19884,16
19908,18
19933,19
19957,21
19981,22
20006,23
20030,24
20054,26
20079,27
20104,29
20129,30
20154,32
20179,32
20204,34
20230,35
20259,35
20284,36
20309,36
20334,36
20359,36
20384,35
20409,37
20434,37
20459,37
20484,37
20509,39
20534,38
20559,41
20584,39
20609,39
20634,40
20659,39
20684,40
20710,41
20735,40
20760,40
20785,40
20810,41
20835,40
20860,39
20885,39
20910,40
20935,39
20960,40
20985,39
21010,38
21035,40
21060,39
21085,38
21110,39
21135,38
21160,38
