time,distance
27827,7
27852,7
27876,7
27900,7
27924,7
27948,7
27971,7
27994,7
28017,7
28040,7
28063,7
28086,7
28109,7
28132,7
28155,7
28178,7
28202,7
28232,7
28255,7
28278,7
28301,8
28325,8
28348,8
28371,8
28394,8
28418,8
28441,7
28464,7
28487,7
28510,8
28533,8
28556,6
28579,6
28602,7
28625,7
28648,7
28671,7
28694,8
28717,7
28740,8
28763,8
28786,9
28809,9
28832,8
28855,9
28879,9
28902,10
28925,18
28949,10
28973,11
28996,10
29019,9
29042,9
29066,9
29089,10
29116,9
29139,10
29163,11
29186,12
29209,11
29232,12
29256,12
29279,13
29302,12
29325,13
29349,14
29373,16
29397,16
29421,15
29445,16
29469,16
29493,16
29517,16
29541,16
29565,16
29589,16
29613,17
29637,16
29661,16
29685,15
29709,16
29733,18
29757,16
29781,16
29805,16
29829,15
29853,16
29877,16
29901,16
29925,16
29950,20
29973,16
29996,16
30020,17
30044,17
30068,16
30092,16
30116,16
30140,15
30164,16
30188,19
30213,18
30237,18
30260,18
30284,17
30308,17
30335,17
30359,17
30385,40
30410,41
30434,21
30458,18
30482,20
30506,18
30530,18
30553,19
30578,18
30602,20
30626,20
30650,21
30674,22
30698,22
30722,21
30746,21
30770,22
30794,22
30818,25
30842,22
30867,22
30891,22
30915,22
30939,22
30963,22
30987,22
31011,22
31035,22
31059,22
31083,24
31107,25
31131,23
31155,22
31179,23
31204,26
31229,23
31260,23
31284,25
31308,27
31333,26
31358,27
31382,26
31406,29
31430,29
31455,30
31479,29
31503,30
31529,55
31553,29
31581,29
31605,31
31629,30
31654,29
31678,30
31702,30
31726,29
31751,30
31775,30
31799,30
31823,30
31848,30
31872,31
31896,30
31920,32
31945,32
31970,31
31996,67
32024,68
32048,33
32073,33
32098,34
32124,35
32149,35
32173,34
32198,34
32223,34
32249,35
32274,35
32299,35
32324,35
32349,35
32374,36
32399,36
32424,35
32449,35
32474,38
32499,39
32524,39
32549,36
32574,36
32599,38
32624,41
32650,41
32675,42
32700,39
32725,38
32751,38
32776,38
32801,41
32826,41
32852,39
32880,40
32905,38
32930,41
32955,40
32980,41
33005,39
33031,37
33056,41
33081,39
33106,37
33131,37
33156,39
33181,35
33206,38
33232,36
33257,38
33282,35
33307,38
33331,34
33357,37
33381,33
33406,33
33431,32
33456,32
33481,31
33505,32
33530,30
33554,30
33578,29
33602,30
33627,29
33651,29
33675,27
33699,29
33724,26
33748,24
33772,25
33796,23
33821,21
33845,20
33869,20
33893,20
33917,18
33940,18
33965,18
33989,18
34012,17
34036,17
34060,16
34084,16
34108,16
34135,15
34159,16
34183,15
34207,15
34231,14
34254,15
34278,15
34302,16
34327,27
34351,13
34375,12
34406,12
34430,12
34454,11
34478,11
34502,10
34525,10
34548,11
34571,10
34595,9
34618,9
34641,8
34664,7
34687,7
34710,7
34733,7
34756,6
34779,7
34802,7
34825,6
34848,6
34871,7
34894,7
34917,6
34940,5
34963,7
34986,5
35009,5
35032,6
35055,6
35078,5
35101,5
35124,6
35147,5
35170,4
35193,5
35216,4
35239,5
35262,4
35285,4
35307,3
35330,3
35353,3
35377,4
35400,5
35423,4
35446,4
35469,6
35492,4
35515,5
35538,6
35561,5
35584,7
35607,8
35630,8
35653,9
35676,8
35699,9
35722,10
35745,12
35768,14
35792,16
35816,13
35840,15
35864,15
35888,17
35912,17
35936,17
35960,17
35985,18
36009,20
36033,21
36057,21
36081,23
36105,23
36129,24
36153,25
36178,26
36202,29
36227,28
36252,29
36277,29
36301,31
36326,36
36350,32
36375,33
36400,33
36425,33
36450,33
36476,35
36500,34
36526,35
36551,38
36576,36
36601,39
36626,37
36651,39
36680,38
36705,41
36730,39
36755,41
36780,39
36805,43
36830,42
36856,47
36881,45
36906,44
36931,45
36957,45
36982,45
37007,45
37032,46
37058,45
37084,46
37110,47
37136,47
37162,48
37188,48
37213,49
37239,49
37265,50
