time,heartbeat
56496,1274
56519,1146
56540,1149
56561,1162
56583,1234
56604,1385
56625,1585
56645,1904
56666,2298
56687,2624
56708,2686
56729,2654
56750,2458
56771,2350
56792,2245
56813,2191
56834,2085
56855,2007
56876,1890
56897,1891
56918,1786
56939,1738
56960,1744
56981,1740
57002,1718
57023,1686
57044,1693
57065,1757
57086,1687
57107,1613
57128,1573
57149,1471
57170,1458
57191,1465
57212,1498
57233,1533
57254,1499
57275,1381
57296,1401
57317,1405
57338,1430
57359,1440
57384,1458
57405,1498
57426,1589
57447,1607
57468,1532
57489,1485
57510,1389
57531,1381
57552,1398
57573,1447
57594,1469
57615,1414
57636,1407
57657,1350
57678,1351
57699,1586
57720,1915
57741,2368
57762,2703
57783,2900
57804,2922
57825,2800
57846,2614
57867,2477
57888,2484
57909,2485
57930,2462
57951,2357
57972,2233
57993,2051
58014,1930
58035,1849
58056,1839
58077,1855
58098,1831
58119,1738
58140,1763
58161,1712
58182,1708
58203,1713
58224,1694
58245,1602
58270,1669
58291,1690
58312,1636
58333,1559
58354,1579
58375,1525
58396,1455
58417,1457
58438,1468
58459,1402
58480,1411
58501,1456
58522,1456
58543,1463
58564,1454
58585,1402
58606,1420
58627,1443
58648,1417
58669,1469
58690,1489
58711,1472
58732,1577
58753,1795
58774,2227
58795,2590
58816,2817
58837,2822
58858,2768
58879,2653
58900,2609
58921,2548
58942,2490
58963,2458
58984,2294
59012,2096
59033,1923
59054,1921
59075,1867
59096,1790
59117,1794
59138,1790
59159,1693
59184,1725
59205,1692
59226,1644
59247,1523
59268,1562
59289,1570
59310,1561
59331,1534
59352,1495
59373,1482
59394,1419
59415,1329
59436,1298
59457,1309
59478,1347
59499,1277
59520,1344
59541,1345
59562,1323
59583,1313
59604,1349
59625,1367
59646,1390
59667,1435
59688,1422
59709,1297
59730,1264
59751,1408
59772,1554
59793,1777
59814,2112
59835,2527
59856,2690
59877,2736
59898,2706
59919,2509
59940,2420
59961,2432
59982,2415
60003,2335
60024,2191
60045,1986
60066,1792
60091,1825
60112,1792
60133,1781
60154,1764
60175,1664
60196,1574
60217,1584
60238,1535
60259,1431
60280,1399
60301,1363
60322,1406
60343,1517
60364,1535
60385,1577
60406,1485
60427,1395
60448,1405
60469,1397
60490,1291
60511,1189
60532,1207
60553,1183
60574,1208
60595,1232
60616,1246
60637,1260
60658,1190
60679,1199
60700,1257
60721,1314
60742,1365
60763,1424
60784,1535
60805,1682
60826,1893
60847,2274
60868,2640
60889,2778
60910,2741
60931,2609
60952,2449
60976,2293
60997,2195
61018,2173
61039,2058
61060,1934
61081,1881
61102,1833
61123,1776
61144,1728
61165,1671
61186,1679
61207,1601
61228,1465
61249,1450
61270,1442
61291,1461
61312,1442
61333,1490
61354,1463
61375,1381
61396,1226
61417,1238
61438,1242
61459,1224
61480,1231
61501,1281
61522,1269
61543,1297
61564,1330
61585,1305
61606,1290
61627,1266
61648,1351
61669,1330
61697,1369
61718,1348
61739,1246
61760,1100
61781,1141
61802,1165
61823,1295
61844,1584
61865,1808
61889,2177
61910,2518
61931,2672
61952,2703
61973,2622
61994,2476
62015,2331
62036,2290
62057,2166
62078,2016
62099,1824
62120,1635
62141,1535
62162,1520
62183,1591
62204,1619
62225,1756
62246,1686
62267,1572
62288,1387
62309,1363
62330,1365
62351,1328
62372,1354
62393,1437
62414,1381
62435,1391
62456,1392
62477,1336
62498,1303
62519,1333
62540,1263
62561,1261
62582,1357
62603,1434
62624,1479
62645,1517
62666,1584
62687,1641
62708,1520
62729,1585
62750,1524
62771,1453
62796,1386
62817,1307
62838,1264
62859,1395
62880,1665
62901,1979
62922,2342
62943,2695
62964,2814
62985,2785
63006,2559
63027,2373
63048,2288
63069,2206
63090,2152
63111,1968
63132,1805
63153,1619
63174,1531
63195,1520
63216,1392
63237,1350
63258,1446
63279,1421
63300,1322
63321,1263
63342,1406
63363,1445
63384,1377
63405,1374
63426,1284
63447,1338
63468,1377
63489,1419
63510,1373
63531,1304
63552,1260
63573,1235
63594,1251
63615,1300
63636,1366
63657,1371
63682,1344
63703,1270
63724,1294
63745,1419
63766,1363
63787,1354
63808,1347
63829,1329
63850,1299
63871,1317
63892,1457
63913,1831
63934,2224
63955,2544
63976,2719
63997,2741
64018,2545
64039,2366
64060,2219
64081,2217
64102,2167
64123,2160
64144,1966
64165,1756
64186,1634
64207,1667
64228,1634
64249,1647
64270,1614
64291,1568
64312,1514
64333,1424
64361,1331
64382,1322
64403,1391
64424,1422
64445,1350
64466,1358
64487,1385
64508,1355
64529,1430
64550,1425
64571,1349
64595,1351
64616,1324
64637,1262
64658,1136
64679,1115
64700,1138
64721,1264
64742,1305
64763,1270
64784,1308
64805,1328
64826,1461
64847,1340
64868,1300
64889,1318
64910,1459
64931,1681
64952,2091
64973,2414
64994,2673
65015,2747
65036,2559
65057,2439
65078,2246
65099,2205
65120,2160
65141,2091
65162,1980
65183,1856
65204,1701
65225,1625
65246,1680
65267,1782
65288,1776
65309,1676
65330,1600
65351,1610
65372,1514
65393,1472
65414,1476
65435,1488
65456,1491
65477,1435
65502,1331
65523,1382
65544,1456
65565,1429
65586,1472
65607,1467
65628,1485
65649,1456
65670,1491
65691,1406
65712,1331
65733,1309
65754,1378
65775,1392
65796,1428
65817,1430
65838,1421
65859,1325
65880,1329
65901,1317
65922,1463
65943,1776
65964,2075
65985,2425
66006,2624
66027,2608
66048,2510
66069,2405
66090,2261
66111,2144
66132,2160
66153,2191
66174,2082
66195,1879
66216,1754
66237,1675
66258,1645
66279,1600
66300,1501
66321,1470
66342,1513
66363,1489
66387,1488
66408,1392
66429,1337
66450,1328
66471,1385
66492,1404
66513,1408
66534,1385
66555,1421
66576,1456
66597,1446
66618,1451
66639,1394
66660,1349
66681,1360
66702,1296
66723,1314
66744,1383
66765,1446
66786,1356
66807,1291
66828,1259
66849,1232
66870,1287
66891,1361
66912,1369
66933,1482
66954,1799
